Parish,QSOs_Sent,QSOs_Received,Total_Activity
ACAD,0,0,0
ALLE,0,0,0
ASCE,0,61,61
ASSU,0,0,0
AVOY,0,1,1
BEAU,0,0,0
BIEN,0,0,0
BOSS,118,25,143
CADD,112,67,179
CALC,131,57,188
CALD,0,1,1
CAME,0,0,0
CATA,0,0,0
CLAI,0,0,0
CONC,0,0,0
DESO,0,0,0
EBAT,0,0,0
ECAR,0,0,0
EFEL,0,0,0
EVAN,0,0,0
FRAN,0,1,1
GRAN,0,0,0
IBEN,0,0,0
IBER,314,157,471
JACK,0,2,2
JEFD,0,0,0
JEFF,64,35,99
LAFA,0,4,4
LAFO,8,9,17
LASA,0,1,1
LINC,0,1,1
LIVI,0,2,2
MADI,0,0,0
MORE,0,0,0
NATC,2,2,4
ORLE,0,1,1
OUAC,1142,359,1501
PCOU,0,0,0
PLAQ,0,0,0
RAPI,725,155,880
RDRV,0,0,0
RICH,0,0,0
SABI,0,0,0
SBER,0,0,0
SCHA,0,0,0
SHEL,0,0,0
SJAM,0,0,0
SJOH,0,0,0
SLAN,0,0,0
SMAR,59,25,84
STAM,0,1,1
TANG,0,4,4
TENS,0,0,0
TERR,670,118,788
UNIO,0,0,0
VERM,0,2,2
VERN,0,0,0
WASH,0,1,1
WBAT,0,0,0
WCAR,0,0,0
WEBS,0,0,0
WFEL,0,1,1
WINN,53,8,61
