1,Canada                             NA
3,Afghanistan                        AS
4,Agalega & St. Brandon Is.          AF
5,Aland Is.                          EU
6,Alaska                             NA
7,Albania                            EU
9,American Samoa                     OC
10,Amsterdam & St. Paul Is.           AF
11,Andaman & Nicobar Is.              AS
12,Anguilla                           NA
13,Antarctica                         AN
14,Armenia                            AS
15,Asiatic Russia                     AS
16,New Zealand Subantarctic Islands   OC
17,Aves I.                            NA
18,Azerbaijan                         AS
20,Baker & Howland Is.                OC
21,Balearic Is.                       EU
22,Palau                              OC
24,Bouvet                             AF
27,Belarus                            EU
29,Canary Is.                         AF
31,C. Kiribati (British Phoenix Is.)  OC
32,Ceuta & Melilla                    AF
33,Chagos Is.                         AF
34,Chatham Is.                        OC
35,Christmas I.                       OC
36,Clipperton I.                      NA
37,Cocos I.                           NA
38,Cocos (Keeling) Is.                OC
40,Crete                              EU
41,Crozet I.                          AF
43,Desecheo I.                        NA
45,Dodecanese                         EU
46,East Malaysia                      OC
47,Easter I.                          SA
48,E. Kiribati (Line Is.)             OC
49,Equatorial Guinea                  AF
50,Mexico                             NA
51,Eritrea                            AF
52,Estonia                            EU
53,Ethiopia                           AF
54,European Russia                    EU
56,Fernando de Noronha                SA
60,Bahamas                            NA
61,Franz Josef Land                   EU
62,Barbados                           NA
63,French Guiana                      SA
64,Bermuda                            NA
65,British Virgin Is.                 NA
66,Belize                             NA
69,Cayman Is.                         NA
70,Cuba                               NA
71,Galapagos Is.                      SA
72,Dominican Republic                 NA
74,El Salvador                        NA
75,Georgia                            AS
76,Guatemala                          NA
77,Grenada                            NA
78,Haiti                              NA
79,Guadeloupe                         NA
80,Honduras                           NA
82,Jamaica                            NA
84,Martinique                         NA
86,Nicaragua                          NA
88,Panama                             NA
89,Turks & Caicos Is.                 NA
90,Trinidad & Tobago                  SA
91,Aruba                              SA
94,Antigua & Barbuda                  NA
95,Dominica                           NA
96,Montserrat                         NA
97,St. Lucia                          NA
98,St. Vincent                        NA
99,Glorioso Is.                       AF
100,Argentina                          SA
103,Guam                               OC
104,Bolivia                            SA
105,Guantanamo Bay                     NA
106,Guernsey                           EU
107,Guinea                             AF
108,Brazil                             SA
109,Guinea-Bissau                      AF
110,Hawaii                             OC
111,Heard I.                           AF
112,Chile                              SA
114,Isle of Man                        EU
116,Colombia                           SA
117,ITU HQ                             EU
118,Jan Mayen                          EU
120,Ecuador                            SA
122,Jersey                             EU
123,Johnston I.                        OC
124,"Juan de Nova, Europa               AF"
125,Juan Fernandez Is.                 SA
126,Kaliningrad                        EU
129,Guyana                             SA
130,Kazakhstan                         AS
131,Kerguelen Is.                      AF
132,Paraguay                           SA
133,Kermadec Is.                       OC
135,Kyrgyzstan                         AS
136,Peru                               SA
137,Republic of Korea                  AS
138,Kure I.                            OC
140,Suriname                           SA
141,Falkland Is.                       SA
142,Lakshadweep Is.                    AS
143,Laos                               AS
144,Uruguay                            SA
145,Latvia                             EU
146,Lithuania                          EU
147,Lord Howe I.                       OC
148,Venezuela                          SA
149,Azores                             EU
150,Australia                          OC
152,Macao                              AS
153,Macquarie I.                       OC
157,Nauru                              OC
158,Vanuatu                            OC
159,"Maldives                           AS,AF"
160,Tonga                              OC
161,Malpelo I.                         SA
162,New Caledonia                      OC
163,Papua New Guinea                   OC
165,Mauritius                          AF
166,Mariana Is.                        OC
167,Market Reef                        EU
168,Marshall Is.                       OC
169,Mayotte                            AF
170,New Zealand                        OC
171,Mellish Reef                       OC
172,Pitcairn I.                        OC
173,Micronesia                         OC
174,Midway I.                          OC
175,French Polynesia                   OC
176,Fiji                               OC
177,Minami Torishima                   OC
179,Moldova                            EU
180,Mount Athos                        EU
181,Mozambique                         AF
182,Navassa I.                         NA
185,Solomon Is.                        OC
187,Niger                              AF
188,Niue                               OC
189,Norfolk I.                         OC
190,Samoa                              OC
191,North Cook Is.                     OC
192,Ogasawara                          AS
195,Annobon I.                         AF
197,Palmyra & Jarvis Is.               OC
199,Peter 1 I.                         AN
201,Prince Edward & Marion Is.         AF
202,Puerto Rico                        NA
203,Andorra                            EU
204,Revillagigedo                      NA
205,Ascension I.                       AF
206,Austria                            EU
207,Rodrigues I.                       AF
209,Belgium                            EU
211,Sable I.                           NA
212,Bulgaria                           EU
213,Saint Martin                       NA
214,Corsica                            EU
215,Cyprus                             AS
216,San Andres & Providencia           NA
217,San Felix & San Ambrosio           SA
219,Sao Tome & Principe                AF
221,Denmark                            EU
222,Faroe Is.                          EU
223,England                            EU
224,Finland                            EU
225,Sardinia                           EU
227,France                             EU
230,Federal Republic of Germany        EU
232,Somalia                            AF
233,Gibraltar                          EU
234,South Cook Is.                     OC
235,South Georgia I.                   SA
236,Greece                             EU
237,Greenland                          NA
238,South Orkney Is.                   SA
239,Hungary                            EU
240,South Sandwich Is.                 SA
241,South Shetland Is.                 SA
242,Iceland                            EU
245,Ireland                            EU
246,Sovereign Military Order of Malta  EU
247,Spratly Is.                        AS
248,Italy                              EU
249,St. Kitts & Nevis                  NA
250,St. Helena                         AF
251,Liechtenstein                      EU
252,St. Paul I.                        NA
253,St. Peter & St. Paul Rocks         SA
254,Luxembourg                         EU
256,Madeira Is.                        AF
257,Malta                              EU
259,Svalbard                           EU
260,Monaco                             EU
262,Tajikistan                         AS
263,Netherlands                        EU
265,Northern Ireland                   EU
266,Norway                             EU
269,Poland                             EU
270,Tokelau Is.                        OC
272,Portugal                           EU
273,Trindade & Martim Vaz Is.          SA
274,Tristan da Cunha & Gough I.        AF
275,Romania                            EU
276,Tromelin I.                        AF
277,St. Pierre & Miquelon              NA
278,San Marino                         EU
279,Scotland                           EU
280,Turkmenistan                       AS
281,Spain                              EU
282,Tuvalu                             OC
283,UK Sovereign Base Areas on Cyprus  AS
284,Sweden                             EU
285,Virgin Is.                         NA
286,Uganda                             AF
287,Switzerland                        EU
288,Ukraine                            EU
289,United Nations HQ                  NA
291,United States of America           NA
292,Uzbekistan                         AS
293,Viet Nam                           AS
294,Wales                              EU
295,Vatican                            EU
296,Serbia                             EU
297,Wake I.                            OC
298,Wallis & Futuna Is.                OC
299,West Malaysia                      AS
301,W. Kiribati (Gilbert Is. )         OC
302,Western Sahara                     AF
303,Willis I.                          OC
304,Bahrain                            AS
305,Bangladesh                         AS
306,Bhutan                             AS
308,Costa Rica                         NA
309,Myanmar                            AS
312,Cambodia                           AS
315,Sri Lanka                          AS
318,China                              AS
321,Hong Kong                          AS
324,India                              AS
327,Indonesia                          OC
330,Iran                               AS
333,Iraq                               AS
336,Israel                             AS
339,Japan                              AS
342,Jordan                             AS
344,Democratic People's Rep. of Korea  AS
345,Brunei Darussalam                  OC
348,Kuwait                             AS
354,Lebanon                            AS
363,Mongolia                           AS
369,Nepal                              AS
370,Oman                               AS
372,Pakistan                           AS
375,Philippines                        OC
376,Qatar                              AS
378,Saudi Arabia                       AS
379,Seychelles                         AF
381,Singapore                          AS
382,Djibouti                           AF
384,Syria                              AS
386,Taiwan                             AS
387,Thailand                           AS
390,"Turkey                             EU,AS"
391,United Arab Emirates               AS
400,Algeria                            AF
401,Angola                             AF
402,Botswana                           AF
404,Burundi                            AF
406,Cameroon                           AF
408,Central Africa                     AF
409,Cape Verde                         AF
410,Chad                               AF
411,Comoros                            AF
412,Republic of the Congo              AF
414,Democratic Republic of the Congo   AF
416,Benin                              AF
420,Gabon                              AF
422,The Gambia                         AF
424,Ghana                              AF
428,Cote d'Ivoire                      AF
430,Kenya                              AF
432,Lesotho                            AF
434,Liberia                            AF
436,Libya                              AF
438,Madagascar                         AF
440,Malawi                             AF
442,Mali                               AF
444,Mauritania                         AF
446,Morocco                            AF
450,Nigeria                            AF
452,Zimbabwe                           AF
453,Reunion I.                         AF
454,Rwanda                             AF
456,Senegal                            AF
458,Sierra Leone                       AF
460,Rotuma I.                          OC
462,Republic of South Africa           AF
464,Namibia                            AF
466,Sudan                              AF
468,Kingdom of Eswatini                AF
470,Tanzania                           AF
474,Tunisia                            AF
478,Egypt                              AF
480,Burkina Faso                       AF
482,Zambia                             AF
483,Togo                               AF
489,Conway Reef                        OC
490,Banaba I. (Ocean I.)               OC
492,Yemen                              AS
497,Croatia                            EU
499,Slovenia                           EU
501,Bosnia-Herzegovina                 EU
502,North Macedonia (Republic of)      EU
503,Czech Republic                     EU
504,Slovak Republic                    EU
505,Pratas I.                          AS
506,Scarborough Reef                   AS
507,Temotu Province                    OC
508,Austral I.                         OC
509,Marquesas Is.                      OC
510,Palestine                          AS
511,Timor-Leste                        OC
512,Chesterfield Is.                   OC
513,Ducie I.                           OC
514,Montenegro                         EU
515,Swains I.                          OC
516,Saint Barthelemy                   NA
517,Curacao                            SA
518,Sint Maarten                       NA
519,Saba & St. Eustatius               NA
520,Bonaire                            SA
521,South Sudan (Republic of)          AF
522,Republic of Kosovo                 EU
